Comuna,1Q15,2Q15,3Q15,4Q15,1Q16,2Q16,3Q16,4Q16,1Q17,2Q17,3Q17,4Q17,1Q18,2Q18,3Q18,4Q18,1Q19,2Q19,3Q19,4Q19,1Q20,2Q20,3Q20,4Q20,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,4Q23
1,"2,309","2,229","2,321","2,301","2,301","2,469","2,534","2,452","2,602","2,672","2,672","2,893","3,045","3,114","3,012","2,989","3,008","2,985","2,739","2,743","2,719","2,690","2,684","2,640","2,654","2,584","2,584","2,511","2,452","2,352","2,352","2,352","2,411"
2,"2,573","2,579","2,626","2,660","2,701","2,709","2,773","2,813","2,880","2,917","3,053","3,203","3,325","3,315","3,312","3,305","3,268","3,215","3,188","3,198","3,114","3,100","3,004","2,947","2,916","2,789","2,684","2,628","2,592","2,517","2,495","2,450","2,435"
3,"1,702","1,691","1,695","1,699","1,778","1,773","1,811","1,816","1,866","1,883","1,933","1,987","2,053","2,153","2,156","2,141","2,157","2,162","2,102","2,095","2,080","2,034","2,002","1,954","1,926","1,893","1,838","1,780","1,724","1,667","1,631","1,579","1,570"
4,"1,713","1,775","1,777","1,704","1,811","1,789","1,791","1,812","1,870","1,862","1,907","2,043","2,024","2,041","2,128","2,099","2,189","2,147","2,153","2,123","2,105","2,030","1,997","1,993","1,930","1,922","1,842","1,817","1,737","1,724","1,647","1,620","1,613"
5,"1,988","2,002","1,998","2,041","2,053","2,071","2,107","2,112","2,121","2,161","2,214","2,306","2,387","2,473","2,477","2,472","2,502","2,507","2,448","2,444","2,487","2,410","2,362","2,313","2,312","2,229","2,168","2,111","2,029","1,957","1,907","1,860","1,855"
6,"2,110","2,107","2,149","2,160","2,229","2,182","2,275","2,307","2,336","2,388","2,410","2,540","2,681","2,750","2,780","2,780","2,774","2,680","2,639","2,596","2,606","2,606","2,587","2,504","2,453","2,423","2,347","2,289","2,232","2,162","2,125","2,071","2,047"
7,"1,774","1,770","1,778","1,815","1,879","1,912","1,941","1,963","1,963","2,024","2,063","2,137","2,224","2,268","2,261","2,240","2,348","2,308","2,267","2,228","2,206","2,196","2,127","2,100","2,126","2,036","2,013","1,968","1,941","1,897","1,826","1,815","1,791"
8,"1,071","1,093","1,043","1,133","1,143","1,128","1,245","1,162","1,273","1,267","1,283","1,339","1,298","1,303","1,320","1,276","1,480","1,369","1,410","1,312","1,150","1,201","1,170","1,127","1,103","1,146","1,135","1,094","1,103","1,071","1,062","1,053","1,024"
9,"1,621","1,621","1,670","1,671","1,687","1,686","1,725","1,783","1,769","1,774","1,832","1,850","1,905","1,926","2,043","2,059","2,077","1,974","1,996","2,024","2,086","1,985","1,926","1,884","1,894","1,912","1,863","1,807","1,806","1,786","1,728","1,708","1,698"
10,"1,758","1,772","1,776","1,813","1,866","1,853","1,882","1,865","1,933","1,957","1,969","2,010","2,083","2,197","2,159","2,225","2,209","2,190","2,180","2,152","2,138","2,104","2,156","2,166","2,094","2,111","2,069","1,988","1,943","1,891","1,855","1,823","1,797"
11,"1,897","1,924","1,977","1,965","2,034","1,999","2,045","2,065","2,135","2,149","2,217","2,326","2,428","2,575","2,618","2,638","2,616","2,592","2,458","2,549","2,551","2,523","2,457","2,370","2,319","2,308","2,246","2,194","2,119","2,078","2,059","2,033","2,051"
12,"2,237","2,258","2,278","2,278","2,372","2,392","2,440","2,446","2,512","2,608","2,721","2,825","2,943","3,063","3,115","3,135","3,115","3,254","3,185","3,073","3,048","3,021","2,999","2,875","2,760","2,743","2,689","2,585","2,510","2,445","2,423","2,387","2,377"
13,"2,450","2,426","2,466","2,554","2,612","2,623","2,716","2,753","2,848","2,914","3,088","3,240","3,340","3,435","3,411","3,388","3,387","3,270","3,165","3,127","3,162","3,060","3,013","2,957","2,898","2,828","2,729","2,682","2,603","2,553","2,536","2,494","2,440"
14,"2,609","2,692","2,687","2,689","2,802","2,847","2,942","2,985","3,145","3,065","3,188","3,333","3,601","3,495","3,477","3,472","3,413","3,426","3,317","3,323","3,193","3,119","3,142","3,065","3,006","2,939","2,851","2,809","2,776","2,715","2,666","2,690","2,640"
15,"2,006","2,023","2,017","2,012","2,101","2,103","2,116","2,177","2,228","2,260","2,382","2,492","2,550","2,601","2,683","2,683","2,670","2,590","2,618","2,556","2,512","2,515","2,437","2,393","2,382","2,326","2,268","2,201","2,167","2,110","2,027","2,000","1,997"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
