BARRIO,COMUNA,Precio_m2_Usd
AGRONOMIA,15,2210.547494
ALMAGRO,5,2261.473811
BALVANERA,3,1949.658728
BARRACAS,4,1978.049698
BELGRANO,13,3015.950302
BOCA,4,1702.83271
BOEDO,5,2088.713684
CABALLITO,6,2516.55299
CHACARITA,15,2261.391043
COGHLAN,12,2640.527719
COLEGIALES,13,2611.322824
CONSTITUCION,1,1812.275141
FLORES,7,2075.410902
FLORESTA,10,1882.895225
LINIERS,9,1992.531983
MATADEROS,9,1606.224506
MONSERRAT,1,2169.811345
MONTE CASTRO,10,1892.703095
NUEVA POMPEYA,4,1293.432536
NUÑEZ,13,2948.715873
PALERMO,14,3174.265628
PARQUE AVELLANEDA,9,1573.199321
PARQUE CHACABUCO,7,1789.909514
PARQUE CHAS,15,2434.47744
PARQUE PATRICIOS,4,1984.266112
PATERNAL,15,1969.034857
PUERTO MADERO,1,5619.881889
RECOLETA,2,3270.682148
RETIRO,1,2627.207816
SAAVEDRA,12,2506.30071
SAN CRISTOBAL,3,1996.293685
SAN NICOLAS,1,2156.438115
SAN TELMO,1,2386.071481
VELEZ SARSFIELD,10,1571.948873
VERSALLES,10,1857.763828
VILLA CRESPO,15,2580.481772
VILLA DEL PARQUE,11,2278.903836
VILLA DEVOTO,11,2165.739183
VILLA GRAL. MITRE,11,1911.185485
VILLA LUGANO,8,1269.230868
VILLA LURO,10,2147.362538
VILLA ORTUZAR,15,2517.970519
VILLA PUEYRREDON,12,2172.894064
VILLA REAL,10,1748.653985
VILLA RIACHUELO,8,1390.073159
VILLA SANTA RITA,11,2001.703207
VILLA SOLDATI,8,906.735183
VILLA URQUIZA,12,2608.797711
Las Canitas,13,3432.701073
Barrio Norte,14,2875.323021
Parque Centenario,6,2375.85199
Centro ,1,2188.253813
Abasto,3,2178.303647
Tribunales,1,2079.362858
Once,3,2038.65227
Congreso,1,1927.07059
